Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQH20,"02/19/2020 14:17",9735,9735.25,9733.75,9734.25,-0.5,483,N/A
NQH20,"02/19/2020 14:16",9733.75,9735,9732.75,9734.75,1.25,668,N/A
NQH20,"02/19/2020 14:15",9732,9734.25,9731.25,9733.5,1.5,750,N/A
NQH20,"02/19/2020 14:14",9732.5,9732.5,9731.5,9732,-0.5,315,N/A
NQH20,"02/19/2020 14:13",9731.75,9732.5,9730.75,9732.5,0.75,475,N/A
NQH20,"02/19/2020 14:12",9732.75,9733,9730.75,9731.75,-0.75,658,N/A
NQH20,"02/19/2020 14:11",9731.75,9733.5,9730.75,9732.5,0.75,597,N/A
NQH20,"02/19/2020 14:10",9733.75,9734.75,9730.75,9731.75,-1.75,941,N/A
NQH20,"02/19/2020 14:09",9734,9734.75,9732.25,9733.5,-0.75,558,N/A
NQH20,"02/19/2020 14:08",9734.5,9735.5,9733.5,9734.25,-0.25,490,N/A
NQH20,"02/19/2020 14:07",9735.5,9735.5,9733.5,9734.5,-1,863,N/A
NQH20,"02/19/2020 14:06",9736.75,9737.75,9735.5,9735.5,-1.25,609,N/A
NQH20,"02/19/2020 14:05",9739.75,9739.75,9735.25,9736.75,-3,1168,N/A
NQH20,"02/19/2020 14:04",9740.75,9741.5,9737.25,9739.75,-1,916,N/A
NQH20,"02/19/2020 14:03",9741.5,9741.5,9740,9740.75,-1,589,N/A
NQH20,"02/19/2020 14:02",9742.25,9743,9741.5,9741.75,-0.75,460,N/A
NQH20,"02/19/2020 14:01",9742.25,9743.5,9742.25,9742.5,0.25,312,N/A
NQH20,"02/19/2020 14:00",9742,9742.5,9741,9742.25,0.5,506,N/A
NQH20,"02/19/2020 13:59",9741.75,9742,9740.75,9741.75,0,390,N/A
NQH20,"02/19/2020 13:58",9741.5,9742.25,9741,9741.75,0.25,269,N/A
NQH20,"02/19/2020 13:57",9741.75,9742,9741.25,9741.5,-0.25,222,N/A
NQH20,"02/19/2020 13:56",9741.25,9741.75,9740,9741.75,0.25,704,N/A
NQH20,"02/19/2020 13:55",9743.75,9744,9741.5,9741.5,-2,564,N/A
NQH20,"02/19/2020 13:54",9744.5,9744.5,9742.75,9743.5,-0.75,748,N/A
NQH20,"02/19/2020 13:53",9744.5,9745,9744,9744.25,-0.25,241,N/A
NQH20,"02/19/2020 13:52",9745,9745.25,9744,9744.5,-0.75,290,N/A
NQH20,"02/19/2020 13:51",9744.75,9745.25,9744.25,9745.25,0.5,216,N/A
NQH20,"02/19/2020 13:50",9744.25,9745.5,9744,9744.75,0.5,351,N/A
NQH20,"02/19/2020 13:49",9744.75,9745,9743.75,9744.25,-0.5,340,N/A
NQH20,"02/19/2020 13:48",9745,9745.25,9744.25,9744.75,-0.25,233,N/A
NQH20,"02/19/2020 13:47",9746.25,9746.5,9744.5,9745,-1.25,666,N/A
NQH20,"02/19/2020 13:46",9746,9746.75,9745.5,9746.25,0,463,N/A
NQH20,"02/19/2020 13:45",9747.5,9748.5,9745.25,9746.25,-1,1598,N/A
NQH20,"02/19/2020 13:44",9741.75,9748.75,9741.5,9747.25,5.75,1843,N/A
NQH20,"02/19/2020 13:43",9742,9742.25,9741.25,9741.5,-0.5,157,N/A
NQH20,"02/19/2020 13:42",9741.75,9742.25,9741.25,9742,0,435,N/A
NQH20,"02/19/2020 13:41",9741.75,9742.25,9741.5,9742,0.25,295,N/A
NQH20,"02/19/2020 13:40",9741,9742,9740,9741.75,0.5,501,N/A
NQH20,"02/19/2020 13:39",9741.25,9741.25,9740.5,9741.25,0,260,N/A
NQH20,"02/19/2020 13:38",9740.75,9741.25,9740.25,9741.25,0.25,231,N/A
NQH20,"02/19/2020 13:37",9741.5,9741.5,9740.25,9741,-0.25,210,N/A
NQH20,"02/19/2020 13:36",9739.5,9741.5,9739.5,9741.25,1.75,338,N/A
NQH20,"02/19/2020 13:35",9739.25,9740,9739,9739.5,0,259,N/A
NQH20,"02/19/2020 13:34",9739.5,9740,9739.25,9739.5,0,191,N/A
