Time,Open,High,Low,Last,Change,Volume,"Open Int"
"10/08/2020 17:05",11577.75,11578.25,11575.5,11575.5,-3,89,N/A
"10/08/2020 17:04",11573.75,11583.75,11572.5,11578.5,4.75,368,N/A
"10/08/2020 17:03",11569,11576,11568.5,11573.75,5,258,N/A
"10/08/2020 17:02",11565,11569.25,11562.75,11568.75,5,154,N/A
"10/08/2020 17:01",11564.25,11568,11561.75,11563.75,0,223,N/A
"10/08/2020 17:00",11562,11572.25,11557.75,11563.75,4,615,N/A
"10/08/2020 15:59",11558,11561.5,11556.5,11559.75,2.5,154,N/A
"10/08/2020 15:58",11555.25,11558,11555.25,11557.25,1.25,77,N/A
"10/08/2020 15:57",11555.75,11556,11555,11556,0.25,12,N/A
"10/08/2020 15:56",11557.5,11558,11555.5,11555.75,-1.75,34,N/A
"10/08/2020 15:55",11558.25,11560.75,11557.25,11557.5,-1.5,142,N/A
"10/08/2020 15:54",11559,11559.5,11557.5,11559,0,67,N/A
"10/08/2020 15:53",11559,11560.75,11558.75,11559,0,58,N/A
"10/08/2020 15:52",11560.25,11560.25,11557.5,11559,-0.75,126,N/A
"10/08/2020 15:51",11563,11563.75,11558,11559.75,-2.75,97,N/A
"10/08/2020 15:50",11565.5,11565.75,11562,11562.5,-3,82,N/A
"10/08/2020 15:49",11563.5,11566.75,11563.5,11565.5,2.5,64,N/A
"10/08/2020 15:48",11564,11566.5,11563,11563,-1.25,101,N/A
"10/08/2020 15:47",11567,11567.5,11562.5,11564.25,-2.5,116,N/A
"10/08/2020 15:46",11561,11569.25,11560.25,11566.75,5.25,327,N/A
"10/08/2020 15:45",11554,11562.75,11553,11561.5,6.75,207,N/A
"10/08/2020 15:44",11557.25,11558.25,11552.25,11554.75,-3.5,102,N/A
"10/08/2020 15:43",11552.5,11558.25,11551.75,11558.25,6,299,N/A
"10/08/2020 15:42",11543.5,11554,11542.75,11552.25,9.5,317,N/A
"10/08/2020 15:41",11541.75,11543.5,11541.5,11542.75,1.25,21,N/A
"10/08/2020 15:40",11543.25,11544,11541.5,11541.5,-2,54,N/A
"10/08/2020 15:39",11544,11544.25,11543,11543.5,-0.5,32,N/A
"10/08/2020 15:38",11544.25,11545,11542.75,11544,-1,46,N/A
"10/08/2020 15:37",11544.75,11545.75,11543,11545,0.25,60,N/A
"10/08/2020 15:36",11542,11544.75,11541.25,11544.75,3,87,N/A
"10/08/2020 15:35",11542,11542.25,11540.25,11541.75,0,55,N/A
"10/08/2020 15:34",11541,11542.5,11540.75,11541.75,0.75,47,N/A
"10/08/2020 15:33",11537.75,11541.25,11537.5,11541,3.25,53,N/A
"10/08/2020 15:32",11537.5,11538,11537,11537.75,0.25,62,N/A
"10/08/2020 15:31",11540.25,11540.25,11536.5,11537.5,-2.25,69,N/A
"10/08/2020 15:30",11539.5,11543.5,11538.25,11539.75,-1,170,N/A
"10/08/2020 15:14",11533,11541.75,11532.25,11540.75,7.25,506,N/A
"10/08/2020 15:13",11535,11535,11531.5,11533.5,-1.5,266,N/A
"10/08/2020 15:12",11533.25,11536.25,11532.5,11535,2.25,122,N/A
"10/08/2020 15:11",11537.25,11537.25,11532.25,11532.75,-4.5,315,N/A
"10/08/2020 15:10",11538.5,11540.75,11536,11537.25,-1.25,307,N/A
"10/08/2020 15:09",11538.75,11540.5,11537,11538.5,0,149,N/A
"10/08/2020 15:08",11538.75,11539.5,11537,11538.5,-0.5,199,N/A
"10/08/2020 15:07",11540.75,11542.25,11538.75,11539,-2.25,298,N/A
"10/08/2020 15:06",11540.75,11543.5,11539.5,11541.25,0.5,559,N/A
"10/08/2020 15:05",11539.75,11542,11538,11540.75,1.25,303,N/A
"10/08/2020 15:04",11540.25,11542.75,11538.75,11539.5,-0.75,599,N/A
"10/08/2020 15:03",11539.25,11541.5,11538.75,11540.25,1,388,N/A
"10/08/2020 15:02",11532.75,11540.5,11532.5,11539.25,6,505,N/A
"10/08/2020 15:01",11528.75,11534.25,11528.25,11533.25,4,509,N/A
"10/08/2020 15:00",11536,11536.5,11528.25,11529.25,-7.25,1266,N/A
"10/08/2020 14:59",11532.75,11540.25,11532.75,11536.5,3.5,2695,N/A
"10/08/2020 14:58",11535.25,11536,11532,11533,-1.75,815,N/A
"10/08/2020 14:57",11536.25,11536.25,11531.5,11534.75,-1.5,890,N/A
"10/08/2020 14:56",11536.25,11538,11534,11536.25,-0.25,756,N/A
"10/08/2020 14:55",11532,11537.5,11528.75,11536.5,4.75,1460,N/A
"10/08/2020 14:54",11528,11532,11525,11531.75,4.25,727,N/A
"10/08/2020 14:53",11529.75,11532.5,11526.75,11527.5,-2.25,624,N/A
"10/08/2020 14:52",11529.5,11533,11528.75,11529.75,0.75,638,N/A
"10/08/2020 14:51",11527.75,11531.75,11525.25,11529,1.25,734,N/A
"10/08/2020 14:50",11528.25,11531,11520,11527.75,0,1099,N/A
"10/08/2020 14:49",11526,11528.5,11523,11527.75,1.75,307,N/A
"10/08/2020 14:48",11527.5,11529.5,11523.75,11526,-1.5,293,N/A
"10/08/2020 14:47",11528.25,11528.75,11524.75,11527.5,-1,303,N/A
"10/08/2020 14:46",11530.5,11531,11525.5,11528.5,-2.25,366,N/A
"10/08/2020 14:45",11529,11532.25,11528.5,11530.75,2,477,N/A
"10/08/2020 14:44",11529.75,11533.25,11527.5,11528.75,-1.25,467,N/A
"10/08/2020 14:43",11525.5,11530.25,11525.25,11530,4.75,328,N/A
"10/08/2020 14:42",11525.5,11528.25,11524,11525.25,-0.75,357,N/A
"10/08/2020 14:41",11526,11526.5,11522.75,11526,-0.25,341,N/A
"10/08/2020 14:40",11530.5,11531.25,11525.5,11526.25,-4.25,427,N/A
"10/08/2020 14:39",11532,11532.25,11530,11530.5,-1,306,N/A
"10/08/2020 14:38",11528.25,11533.75,11528.25,11531.5,3.25,442,N/A
"10/08/2020 14:37",11526.75,11531.75,11525,11528.25,1.5,722,N/A
"10/08/2020 14:36",11522.5,11528.5,11522.5,11526.75,4,374,N/A
"10/08/2020 14:35",11529.5,11531.25,11522.25,11522.75,-6.5,584,N/A
"10/08/2020 14:34",11529.75,11532.25,11529,11529.25,-0.5,274,N/A
"10/08/2020 14:33",11529.5,11532.5,11529,11529.75,0.25,402,N/A
"10/08/2020 14:32",11531,11532,11527.25,11529.5,-2,378,N/A
"10/08/2020 14:31",11532,11532.75,11527.25,11531.5,0,562,N/A
"10/08/2020 14:30",11530.75,11532.25,11529.25,11531.5,0.75,419,N/A
"10/08/2020 14:29",11531.75,11532.5,11528.25,11530.75,-0.75,237,N/A
"10/08/2020 14:28",11529.75,11531.75,11527.75,11531.5,1.5,229,N/A
"10/08/2020 14:27",11533.25,11534,11529.75,11530,-3.25,390,N/A
"10/08/2020 14:26",11528.75,11533.25,11528.5,11533.25,4.25,524,N/A
"10/08/2020 14:25",11526,11529.75,11522.75,11529,3,399,N/A
"10/08/2020 14:24",11528.25,11529,11524.25,11526,-2.5,318,N/A
