Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQH20,"01/20/2020 09:30",9170.25,9170.5,9169.5,9170,-0.25,77,N/A
NQH20,"01/20/2020 09:29",9170.5,9171,9170.25,9170.25,-0.5,85,N/A
NQH20,"01/20/2020 09:28",9170,9170.75,9170,9170.75,0.5,94,N/A
NQH20,"01/20/2020 09:27",9170.25,9170.25,9170,9170.25,0.25,30,N/A
NQH20,"01/20/2020 09:26",9169.75,9170.25,9169.75,9170,0,53,N/A
NQH20,"01/20/2020 09:25",9170.25,9170.25,9170,9170,-0.25,43,N/A
NQH20,"01/20/2020 09:24",9170.25,9170.5,9169.75,9170.25,0,67,N/A
NQH20,"01/20/2020 09:23",9170.25,9170.25,9169.75,9170.25,0,34,N/A
NQH20,"01/20/2020 09:22",9170,9170.5,9169.75,9170.25,0.25,50,N/A
NQH20,"01/20/2020 09:21",9169.75,9170.25,9169.75,9170,0,58,N/A
NQH20,"01/20/2020 09:20",9170,9170.25,9169.5,9170,0,40,N/A
NQH20,"01/20/2020 09:19",9169.75,9170.25,9169.75,9170,0.5,65,N/A
NQH20,"01/20/2020 09:18",9169.75,9169.75,9169,9169.5,-0.25,78,N/A
NQH20,"01/20/2020 09:17",9170.25,9170.25,9169.5,9169.75,-0.5,33,N/A
NQH20,"01/20/2020 09:16",9170.5,9170.5,9170,9170.25,0,28,N/A
NQH20,"01/20/2020 09:15",9170.5,9170.5,9170,9170.25,0,45,N/A
NQH20,"01/20/2020 09:14",9170.25,9170.75,9170.25,9170.25,0.25,46,N/A
NQH20,"01/20/2020 09:13",9169.75,9170,9169.75,9170,0.5,36,N/A
NQH20,"01/20/2020 09:12",9170.25,9171.5,9169.25,9169.5,-0.5,131,N/A
NQH20,"01/20/2020 09:11",9169.5,9170.75,9169.5,9170,0.25,80,N/A
NQH20,"01/20/2020 09:10",9169.75,9169.75,9169.5,9169.75,0.25,25,N/A
NQH20,"01/20/2020 09:09",9170.25,9170.75,9169.5,9169.5,-0.5,128,N/A
NQH20,"01/20/2020 09:08",9169.5,9170.25,9169.5,9170,0.75,69,N/A
NQH20,"01/20/2020 09:07",9169,9169.5,9169,9169.25,0.25,35,N/A
NQH20,"01/20/2020 09:06",9169,9169.5,9168.5,9169,0,111,N/A
NQH20,"01/20/2020 09:05",9168.75,9169.5,9168.25,9169,0.25,135,N/A
NQH20,"01/20/2020 09:04",9169.25,9169.75,9168.5,9168.75,-0.75,98,N/A
NQH20,"01/20/2020 09:03",9170,9170,9169.25,9169.5,-0.5,135,N/A
NQH20,"01/20/2020 09:02",9169.75,9171.5,9169.75,9170,0.25,198,N/A
NQH20,"01/20/2020 09:01",9170,9170.25,9169.5,9169.75,0,115,N/A
NQH20,"01/20/2020 09:00",9171.5,9172,9169.25,9169.75,-1.75,241,N/A
NQH20,"01/20/2020 08:59",9171.5,9171.75,9171,9171.5,0,75,N/A
NQH20,"01/20/2020 08:58",9171.25,9171.75,9170.25,9171.5,0.5,109,N/A
NQH20,"01/20/2020 08:57",9168.75,9171,9168.75,9171,2.25,120,N/A
NQH20,"01/20/2020 08:56",9170.5,9170.5,9168.5,9168.75,-1.75,255,N/A
NQH20,"01/20/2020 08:55",9170.25,9170.75,9170.25,9170.5,0.5,67,N/A
NQH20,"01/20/2020 08:54",9170.5,9170.5,9169.5,9170,-0.5,98,N/A
NQH20,"01/20/2020 08:53",9171.25,9171.75,9170.25,9170.5,-0.75,142,N/A
NQH20,"01/20/2020 08:52",9171,9172.75,9171,9171.25,0,197,N/A
NQH20,"01/20/2020 08:51",9171,9171.25,9170.25,9171.25,0.5,112,N/A
NQH20,"01/20/2020 08:50",9169.75,9170.75,9169.75,9170.75,1,92,N/A
NQH20,"01/20/2020 08:49",9168.5,9169.75,9168.5,9169.75,1.25,67,N/A
NQH20,"01/20/2020 08:48",9169.75,9169.75,9168.5,9168.5,-1.25,114,N/A
NQH20,"01/20/2020 08:47",9169.75,9170,9169.25,9169.75,-0.25,55,N/A
NQH20,"01/20/2020 08:46",9170.25,9170.25,9169.5,9170,-0.25,86,N/A
NQH20,"01/20/2020 08:45",9170.5,9170.75,9170.25,9170.25,-0.5,43,N/A
NQH20,"01/20/2020 08:44",9170.25,9170.75,9170.25,9170.75,0.5,50,N/A
NQH20,"01/20/2020 08:43",9170.75,9170.75,9170,9170.25,-0.25,52,N/A
NQH20,"01/20/2020 08:42",9171,9171.75,9170.5,9170.5,-0.5,122,N/A
NQH20,"01/20/2020 08:41",9169.5,9171,9169.5,9171,1.75,79,N/A
NQH20,"01/20/2020 08:40",9170,9170,9168.75,9169.25,-0.5,91,N/A
NQH20,"01/20/2020 08:39",9170.25,9171,9169.5,9169.75,-0.5,106,N/A
NQH20,"01/20/2020 08:38",9169.5,9171.25,9169.5,9170.25,1,144,N/A
NQH20,"01/20/2020 08:37",9169.25,9169.75,9169,9169.25,-0.25,54,N/A
NQH20,"01/20/2020 08:36",9170.5,9172.25,9168.75,9169.5,-0.75,456,N/A
NQH20,"01/20/2020 08:35",9169.25,9171.25,9169.25,9170.25,1,315,N/A
NQH20,"01/20/2020 08:34",9168.25,9169.5,9168,9169.25,1.25,107,N/A
NQH20,"01/20/2020 08:33",9168.75,9170.25,9167.75,9168,-0.75,417,N/A
NQH20,"01/20/2020 08:32",9165.75,9169.75,9165.75,9168.75,3.25,445,N/A
NQH20,"01/20/2020 08:31",9166,9166,9163.25,9165.5,-0.25,272,N/A
NQH20,"01/20/2020 08:30",9166.75,9167.75,9165.75,9165.75,-1,334,N/A
NQH20,"01/20/2020 08:29",9165,9166.75,9165,9166.75,1.75,149,N/A
NQH20,"01/20/2020 08:28",9164.5,9165,9164,9165,0.5,71,N/A
NQH20,"01/20/2020 08:27",9164.25,9164.75,9163,9164.5,0.25,126,N/A
NQH20,"01/20/2020 08:26",9164.5,9164.75,9164.25,9164.25,-0.5,37,N/A
NQH20,"01/20/2020 08:25",9165.25,9165.25,9164.5,9164.75,-0.25,39,N/A
NQH20,"01/20/2020 08:24",9165.5,9165.5,9164.75,9165,-0.5,47,N/A
NQH20,"01/20/2020 08:23",9166,9166.25,9165.5,9165.5,-0.5,40,N/A
NQH20,"01/20/2020 08:22",9165.5,9166.25,9165.5,9166,0.75,54,N/A
NQH20,"01/20/2020 08:21",9165.25,9165.5,9165.25,9165.25,-0.25,52,N/A
NQH20,"01/20/2020 08:20",9166.25,9166.25,9165.5,9165.5,-0.75,29,N/A
NQH20,"01/20/2020 08:19",9166.25,9166.5,9166,9166.25,-0.25,35,N/A
NQH20,"01/20/2020 08:18",9166.5,9166.5,9166.5,9166.5,0,12,N/A
NQH20,"01/20/2020 08:17",9167,9167,9166.5,9166.5,-0.25,24,N/A
NQH20,"01/20/2020 08:16",9166.5,9167,9166.5,9166.75,0.25,31,N/A
NQH20,"01/20/2020 08:15",9166.5,9166.5,9166.5,9166.5,0,18,N/A
NQH20,"01/20/2020 08:14",9166.25,9166.5,9166.25,9166.5,0.25,16,N/A
NQH20,"01/20/2020 08:13",9166.75,9167,9166.25,9166.25,-0.25,25,N/A
NQH20,"01/20/2020 08:12",9167,9167.5,9166.5,9166.5,-0.75,76,N/A
NQH20,"01/20/2020 08:11",9166.25,9167.75,9166.25,9167.25,1,54,N/A
NQH20,"01/20/2020 08:10",9166.75,9167,9166.25,9166.25,-0.25,56,N/A
NQH20,"01/20/2020 08:09",9166.75,9166.75,9166,9166.5,-0.25,70,N/A
NQH20,"01/20/2020 08:08",9166,9167,9166,9166.75,0.5,39,N/A
NQH20,"01/20/2020 08:07",9166,9166.25,9165.75,9166.25,0.25,45,N/A
NQH20,"01/20/2020 08:06",9167,9167,9165.75,9166,-1,173,N/A
NQH20,"01/20/2020 08:05",9167.25,9167.25,9167,9167,0,52,N/A
NQH20,"01/20/2020 08:04",9167,9167.25,9166.75,9167,0,98,N/A
NQH20,"01/20/2020 08:03",9166.75,9167.25,9166.75,9167,0.25,49,N/A
NQH20,"01/20/2020 08:02",9166.25,9167,9166,9166.75,0.5,35,N/A
NQH20,"01/20/2020 08:01",9166.25,9167.25,9166.25,9166.25,0,72,N/A
NQH20,"01/20/2020 08:00",9165,9166.5,9165,9166.25,1.25,79,N/A
NQH20,"01/20/2020 07:59",9164.5,9165,9164.5,9165,0.5,14,N/A
NQH20,"01/20/2020 07:58",9164.5,9165,9164.5,9164.5,-0.25,25,N/A
NQH20,"01/20/2020 07:57",9164.75,9164.75,9164.75,9164.75,0.25,5,N/A
NQH20,"01/20/2020 07:56",9164.5,9164.5,9164,9164.5,0.25,24,N/A
NQH20,"01/20/2020 07:55",9165.5,9165.75,9164.25,9164.25,-1.25,43,N/A
NQH20,"01/20/2020 07:54",9165.25,9165.75,9165.25,9165.5,0,25,N/A
NQH20,"01/20/2020 07:53",9165,9165.5,9165,9165.5,0.25,42,N/A
NQH20,"01/20/2020 07:52",9165.5,9165.5,9165.25,9165.25,0,18,N/A
NQH20,"01/20/2020 07:51",9165.25,9165.25,9165,9165.25,0.25,18,N/A
NQH20,"01/20/2020 07:50",9165.75,9165.75,9165,9165,-1,38,N/A
NQH20,"01/20/2020 07:49",9165.75,9166.25,9165.75,9166,0.25,26,N/A
NQH20,"01/20/2020 07:48",9165.75,9166.5,9165.75,9165.75,0,59,N/A
NQH20,"01/20/2020 07:47",9164.75,9166,9164.75,9165.75,1,44,N/A
NQH20,"01/20/2020 07:46",9164.25,9165,9164.25,9164.75,0.5,26,N/A
NQH20,"01/20/2020 07:45",9165,9165,9164.25,9164.25,-0.75,57,N/A
NQH20,"01/20/2020 07:44",9164.5,9165.25,9164.25,9165,0.25,24,N/A
NQH20,"01/20/2020 07:43",9164.75,9165.5,9164.75,9164.75,-0.25,35,N/A
NQH20,"01/20/2020 07:42",9165.5,9165.5,9164.75,9165,-0.5,68,N/A
NQH20,"01/20/2020 07:41",9164.75,9166.25,9164.75,9165.5,0.5,97,N/A
NQH20,"01/20/2020 07:40",9164.5,9165,9163.25,9165,0.5,148,N/A
NQH20,"01/20/2020 07:39",9165.5,9165.75,9164.25,9164.5,-1,109,N/A
NQH20,"01/20/2020 07:38",9165.25,9165.75,9165.25,9165.5,0,79,N/A
NQH20,"01/20/2020 07:37",9166.25,9166.5,9165,9165.5,-0.75,90,N/A
NQH20,"01/20/2020 07:36",9167.25,9167.25,9166,9166.25,-1.25,55,N/A
NQH20,"01/20/2020 07:35",9167.75,9168,9167,9167.5,-0.25,69,N/A
NQH20,"01/20/2020 07:34",9167,9168,9166.75,9167.75,0.75,66,N/A
NQH20,"01/20/2020 07:33",9167,9167,9166.75,9167,0,24,N/A
NQH20,"01/20/2020 07:32",9167,9167,9166.75,9167,0,32,N/A
NQH20,"01/20/2020 07:31",9167.75,9167.75,9166.75,9167,-1,30,N/A
NQH20,"01/20/2020 07:30",9167.5,9168,9167.5,9168,0.75,38,N/A
NQH20,"01/20/2020 07:29",9167.25,9167.5,9167,9167.25,0,24,N/A
NQH20,"01/20/2020 07:28",9167.25,9167.5,9167,9167.25,0,9,N/A
NQH20,"01/20/2020 07:27",9167.25,9167.25,9167.25,9167.25,0,2,N/A
NQH20,"01/20/2020 07:26",9167.75,9168,9167.25,9167.25,-0.25,23,N/A
NQH20,"01/20/2020 07:25",9167,9168,9167,9167.5,0.25,54,N/A
NQH20,"01/20/2020 07:24",9167.25,9167.5,9167,9167.25,0,41,N/A
NQH20,"01/20/2020 07:23",9166.5,9167.5,9166.25,9167.25,0.75,57,N/A
NQH20,"01/20/2020 07:22",9166.5,9166.75,9166,9166.5,-0.25,84,N/A
NQH20,"01/20/2020 07:21",9166.75,9167.25,9166.75,9166.75,-0.25,20,N/A
NQH20,"01/20/2020 07:20",9167,9167,9166.5,9167,0,17,N/A
NQH20,"01/20/2020 07:19",9166.75,9167,9166.75,9167,0.5,19,N/A
NQH20,"01/20/2020 07:18",9166.75,9167,9166,9166.5,-0.25,34,N/A
NQH20,"01/20/2020 07:17",9166.25,9167.25,9166.25,9166.75,0.5,69,N/A
NQH20,"01/20/2020 07:16",9166.75,9166.75,9166.25,9166.25,-0.5,26,N/A
NQH20,"01/20/2020 07:15",9166.25,9167.25,9166.25,9166.75,0.5,98,N/A
NQH20,"01/20/2020 07:14",9165.25,9166.25,9165,9166.25,1,63,N/A
NQH20,"01/20/2020 07:13",9165.5,9165.5,9165.25,9165.25,-0.25,22,N/A
NQH20,"01/20/2020 07:12",9165.5,9165.75,9165.25,9165.5,-0.25,26,N/A
NQH20,"01/20/2020 07:11",9165.25,9165.75,9165,9165.75,0.5,78,N/A
NQH20,"01/20/2020 07:10",9164,9165.25,9163.75,9165.25,1.25,72,N/A
NQH20,"01/20/2020 07:09",9163.5,9164.25,9163.5,9164,0.5,50,N/A
NQH20,"01/20/2020 07:08",9163.5,9163.5,9163,9163.5,-0.25,82,N/A
NQH20,"01/20/2020 07:07",9164.25,9164.25,9163.5,9163.75,-0.5,48,N/A
NQH20,"01/20/2020 07:06",9163,9165,9162.75,9164.25,1.25,105,N/A
NQH20,"01/20/2020 07:05",9164.75,9164.75,9162.75,9163,-1.5,112,N/A
NQH20,"01/20/2020 07:04",9165.75,9165.75,9164.25,9164.5,-1.25,61,N/A
NQH20,"01/20/2020 07:03",9166,9166,9165.25,9165.75,-0.25,46,N/A
NQH20,"01/20/2020 07:02",9165.5,9166.25,9165.5,9166,0.5,37,N/A
NQH20,"01/20/2020 07:01",9165.75,9165.75,9164.25,9165.5,-0.25,151,N/A
NQH20,"01/20/2020 07:00",9166.75,9166.75,9165.5,9165.75,-0.75,67,N/A
NQH20,"01/20/2020 06:59",9167,9167,9166.5,9166.5,-0.25,13,N/A
NQH20,"01/20/2020 06:58",9166.75,9167,9166.75,9166.75,0,11,N/A
NQH20,"01/20/2020 06:57",9166.5,9166.75,9166.5,9166.75,0.25,11,N/A
NQH20,"01/20/2020 06:56",9166.75,9166.75,9166.25,9166.5,-0.25,20,N/A
NQH20,"01/20/2020 06:55",9166.5,9167,9166,9166.75,0,54,N/A
NQH20,"01/20/2020 06:54",9167,9167.25,9166.5,9166.75,-0.25,33,N/A
NQH20,"01/20/2020 06:53",9166.75,9167,9166.75,9167,0,15,N/A
NQH20,"01/20/2020 06:52",9166.25,9167,9166.25,9167,0.75,70,N/A
NQH20,"01/20/2020 06:51",9166.5,9166.5,9166,9166.25,-0.25,45,N/A
NQH20,"01/20/2020 06:50",9166.25,9166.5,9165.75,9166.5,0.25,68,N/A
NQH20,"01/20/2020 06:49",9166.75,9167,9165.75,9166.25,-0.5,97,N/A
NQH20,"01/20/2020 06:48",9167.5,9167.75,9166.5,9166.75,-0.75,77,N/A
NQH20,"01/20/2020 06:47",9167.75,9167.75,9167.25,9167.5,0,8,N/A
NQH20,"01/20/2020 06:46",9168.5,9168.5,9167.25,9167.5,-0.75,73,N/A
NQH20,"01/20/2020 06:45",9169.75,9169.75,9167.5,9168.25,-1.5,188,N/A
NQH20,"01/20/2020 06:44",9170.25,9170.25,9169.5,9169.75,-0.25,49,N/A
NQH20,"01/20/2020 06:43",9170.25,9170.5,9169.5,9170,-0.5,86,N/A
NQH20,"01/20/2020 06:42",9170.25,9170.75,9170,9170.5,0.25,21,N/A
NQH20,"01/20/2020 06:41",9170,9170.5,9170,9170.25,0.25,13,N/A
NQH20,"01/20/2020 06:40",9169.75,9170,9169.5,9170,0.5,15,N/A
NQH20,"01/20/2020 06:39",9170,9170,9169.5,9169.5,-0.5,12,N/A
NQH20,"01/20/2020 06:38",9170.25,9170.25,9169.75,9170,-0.25,25,N/A
NQH20,"01/20/2020 06:37",9170.75,9170.75,9170,9170.25,-0.75,23,N/A
NQH20,"01/20/2020 06:36",9169.25,9171.75,9169.25,9171,1.75,111,N/A
NQH20,"01/20/2020 06:35",9169.75,9169.75,9169,9169.25,-0.5,30,N/A
NQH20,"01/20/2020 06:34",9168.75,9169.75,9168.75,9169.75,1,59,N/A
NQH20,"01/20/2020 06:33",9168,9168.75,9168,9168.75,0.5,27,N/A
NQH20,"01/20/2020 06:32",9168.25,9168.25,9167.75,9168.25,0.25,60,N/A
NQH20,"01/20/2020 06:31",9168.25,9168.25,9167.75,9168,-0.25,39,N/A
NQH20,"01/20/2020 06:30",9167.75,9168.75,9167.75,9168.25,0.25,32,N/A
NQH20,"01/20/2020 06:29",9167.75,9168,9167.5,9168,0,32,N/A
NQH20,"01/20/2020 06:28",9167.5,9168,9167.5,9168,0.5,24,N/A
NQH20,"01/20/2020 06:27",9168.25,9168.75,9167.25,9167.5,-0.75,43,N/A
NQH20,"01/20/2020 06:26",9168,9168.25,9167.5,9168.25,0,23,N/A
NQH20,"01/20/2020 06:25",9167.5,9168.25,9167.25,9168.25,1,38,N/A
NQH20,"01/20/2020 06:24",9167.5,9167.5,9167.25,9167.25,-0.25,19,N/A
NQH20,"01/20/2020 06:23",9168.25,9168.25,9167,9167.5,-1,45,N/A
NQH20,"01/20/2020 06:22",9168.5,9168.5,9168.5,9168.5,0,9,N/A
NQH20,"01/20/2020 06:21",9167.5,9169,9167,9168.5,1,48,N/A
NQH20,"01/20/2020 06:20",9168.5,9168.5,9167.25,9167.5,-1.25,99,N/A
NQH20,"01/20/2020 06:19",9168.5,9168.75,9168.5,9168.75,0.5,15,N/A
NQH20,"01/20/2020 06:18",9168.5,9168.5,9168.25,9168.25,-0.25,24,N/A
NQH20,"01/20/2020 06:17",9169.25,9170,9168.25,9168.5,-0.75,169,N/A
NQH20,"01/20/2020 06:16",9169.75,9169.75,9169,9169.25,-0.5,38,N/A
NQH20,"01/20/2020 06:15",9169.5,9170,9169.25,9169.75,0.25,24,N/A
NQH20,"01/20/2020 06:14",9170,9170.5,9169.5,9169.5,-0.75,34,N/A
NQH20,"01/20/2020 06:13",9170,9170.5,9170,9170.25,0.25,19,N/A
NQH20,"01/20/2020 06:12",9170,9170.25,9170,9170,0.25,30,N/A
NQH20,"01/20/2020 06:11",9170,9170.5,9169.5,9169.75,0,44,N/A
