Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQU20,"07/09/2020 23:38",10691.25,10694.75,10691.25,10694,2.75,42,N/A
NQU20,"07/09/2020 23:37",10692,10692.75,10690.5,10691.25,-0.75,35,N/A
NQU20,"07/09/2020 23:36",10694.25,10694.5,10691.5,10692,-2,60,N/A
NQU20,"07/09/2020 23:35",10694.25,10694.5,10692.5,10694,-0.5,38,N/A
NQU20,"07/09/2020 23:34",10694.75,10695.25,10693,10694.5,0,62,N/A
NQU20,"07/09/2020 23:33",10692.5,10696,10692.5,10694.5,1.75,54,N/A
NQU20,"07/09/2020 23:32",10691.25,10693.75,10691,10692.75,1.25,58,N/A
NQU20,"07/09/2020 23:31",10687.25,10693,10687,10691.5,4.5,141,N/A
NQU20,"07/09/2020 23:30",10687,10687.75,10683.75,10687,-0.25,56,N/A
NQU20,"07/09/2020 23:29",10688.25,10688.25,10685.25,10687.25,-0.75,40,N/A
NQU20,"07/09/2020 23:28",10685.25,10688,10685,10688,4,35,N/A
NQU20,"07/09/2020 23:27",10687.5,10687.75,10684,10684,-2.25,146,N/A
NQU20,"07/09/2020 23:26",10688,10688,10686,10686.25,-1.75,41,N/A
NQU20,"07/09/2020 23:25",10689.25,10689.25,10688,10688,-0.75,13,N/A
NQU20,"07/09/2020 23:24",10688.5,10690.25,10687.25,10688.75,0.75,45,N/A
NQU20,"07/09/2020 23:23",10690,10690.5,10686.75,10688,-2.5,96,N/A
NQU20,"07/09/2020 23:22",10692,10692,10690.5,10690.5,-1.5,23,N/A
NQU20,"07/09/2020 23:21",10692.75,10694,10692,10692,-0.5,40,N/A
NQU20,"07/09/2020 23:20",10690.5,10692.5,10689.75,10692.5,2,15,N/A
NQU20,"07/09/2020 23:19",10690.25,10690.75,10689,10690.5,0.25,79,N/A
NQU20,"07/09/2020 23:18",10690.25,10691,10687.5,10690.25,-0.75,92,N/A
NQU20,"07/09/2020 23:17",10692.5,10692.5,10690.25,10691,-1.5,36,N/A
NQU20,"07/09/2020 23:16",10693.75,10694.5,10690.5,10692.5,-1.5,59,N/A
NQU20,"07/09/2020 23:15",10696.25,10697,10693.75,10694,-2.75,61,N/A
NQU20,"07/09/2020 23:14",10695,10696.75,10694.75,10696.75,1.75,26,N/A
NQU20,"07/09/2020 23:13",10695.5,10696,10694.25,10695,-0.25,42,N/A
NQU20,"07/09/2020 23:12",10695.25,10695.25,10694.25,10695.25,-0.25,19,N/A
NQU20,"07/09/2020 23:11",10693.75,10695.5,10693.75,10695.5,2,33,N/A
NQU20,"07/09/2020 23:10",10691.75,10695.75,10691.75,10693.5,2,94,N/A
NQU20,"07/09/2020 23:09",10690.75,10691.75,10690.75,10691.5,1,16,N/A
NQU20,"07/09/2020 23:08",10691.25,10691.5,10690,10690.5,0.25,30,N/A
NQU20,"07/09/2020 23:07",10690.5,10690.5,10688.25,10690.25,0.25,17,N/A
NQU20,"07/09/2020 23:06",10687.25,10691.25,10685.5,10690,2.5,111,N/A
